張斯綱,01 北投區、士林區,中國國民黨,,男,,,"政治大學東亞所 碩士
輔仁大學法律系 學士","聯合醫學基金會 執行長
衛生署 簡任秘書
海基會 資深高專
時事評論員（中天、民視、年代、三立）",,,,,,,,,,,,,,,,,,,,
龔偉綸,05 中正區、萬華區,無黨籍,36 歲,男,臺北市,1982-05-26,目前無資料顯示,"偉綸開發投資（偉綸代書事務所）
台灣菁英協會第六期副會長 
青商會理事 
大台灣隊會友","總統支持蔡英文、立委支持龔偉綸
一、推動公辦都更立法，舉辦都更市民權益及社區營造座談。
二、廢除流浪狗12天撲殺，設立寵物安置所。
三、透過合理稅制改革，致力減少受薪階級負擔，讓受薪階級可以存錢。
四、弱勢老人安養，加強弱勢補助照顧，營造長者親善空間，十二年國教總體檢，廣設安養及托幼園所、兒童遊憩中心。
五、便利的交通設施無障礙設施普遍化、生活化，讓身障者、婦幼、老人行動更安全。推動萬大線加速施工，建構中正萬華地區完善捷運接駁系統，騎樓淨
空並增設停車空間、減少拖吊。
六、加速中正萬華老舊眷村改建，增建平價國宅、青年住宅。搶救即將消失的傳統市場、輔導攤販成具有特色的觀光產業。
七、落實改革教育、減輕學子升學壓力、持續關注學童營養午餐品質。推動幼托合一、托育社區化、廣設完全中學、社區中學。
八、落實社會福利社會救助法之各項生活扶助、補助、救助等發放金額，照顧老人、兒童、身心障礙者、中低收入戶、外籍配偶、單親媽媽。
九、推動產、官、學合作，擴大就業媒合機會，鼓勵創業及培育就業青年。
十、督促行政部門加強照顧農民、工人、漁民、單身榮民等弱勢族群，協助弱勢家庭、保護受虐婦幼、關懷新住民。
十一、加速傳統市場更新，鄰里公園改造，都市機能再升級。配合都市更新設計發展主題商圈，促進觀光夜市國際化。
十二、打造台北市艋舺服飾商圈成為亞洲流行成衣重鎮。
十三、立法照顧新生幼兒，讓年輕父母能專心工作無後顧之憂，修法保障勞工權益，健全保障勞工工作權。
十四、加倍補助社區團體，培植民間力量扶助在地組織，巡守隊、義警消、民防、社區發展協會等團體，有益緊急應變時，動員整合人力及提升社區能量。

（資料來源／中選會選舉公報：http://ebulletin.cec.gov.tw/%E9%81%B8%E8%88%89/%E7%AB%8B%E6%B3%95%E5%A7%94%E5%93%A1/105%E5%B9%B4%E7%AC%AC9%E5%B1%86/01%E5%8D%80%E5%9F%9F/01%E8%87%BA%E5%8C%97%E5%B8%82/%E8%87%BA%E5%8C%97%E5%B8%82%E7%AB%8B%E5%A7%94%E9%81%B8%E8%88%89%E7%AC%AC5%E9%81%B8%E5%8D%80.pdf）",,,,,,,,,,,,,,,,,,,
龔良榮,06 中埔鄉、竹崎鄉、番路鄉、大埔鄉、阿里山鄉,無黨籍,,男,,,,,,,,,,,,,,,,,,,,,,,,
顧黃水花,01 彰化市、花壇鄉、芬園鄉,中國國民黨,65 歲,女,雲林縣,,鹿港國中畢業,彰化縣第15、16、17、18屆議員,,,,,,,,,,,,,,,,,,,,
鐘順祥,05 望安鄉,無黨籍,,男,,,,,,,,,,,,,,,,,,,,,,,,
鐘泰荃,02 斗南鎮、古坑鄉、大埤鄉,民主進步黨,58 歲,男,,,"環球科技大學
開南商工","民主進步黨第15、16、17屆全國黨代表
雲林縣縣長蘇治芬秘書2007-2014
雲林縣縣長李進勇秘書2015-2016",,,,,,,,,,,,,,,,,,,,
蘇錦雄 Paylang．Caya,11 平地原住民,民主進步黨,,男,臺北市,,醒吾科技大學碩士,"2014年新北市夷將。拔路兒議員競選團隊總幹事
新北市原住民族Saicelen協進會理事
台灣基督長老會西美中會聖山教會長老
新莊原住民族發展協進會理事長
旅北都蘭同鄉會會長
轉型正義新北市阿美族族群代表
新北市丹鳳高中附設國中部hohaiyan原舞社指導老師
新北市原住民族部落大學講師
新北市松年大學講師","
          第二原鄉．集會所

為維護原住民文化資產傳承，並打造新北市「原民第二故鄉」，要求市政府盤點現有空間，針對原住民人口密集區進行評估，設置「原民集會所」。

（資料來源／蘇錦雄 Paylang．Caya　臉書粉絲專頁：https://www.facebook.com/pg/cayapaylang/posts/?ref=page_internal）
      ","部落長者．在地長照．培育原民居服員及照服員

新北市65歲以上原住民長者共2173位，長者是部落文化傳承的重要傳遞者，為提供都會或偏遠地區原住民長者周全照護，並完善在地長照效益，我將陸續推動「文化健康站plus」及「醫療專車」，彙整長照資源，以可設置專屬廚房、提供共餐服務的完整空間為目標，並規劃長照專車定點定時接送服務提供原住民長者妥切的照護服務。

（資料來源／蘇錦雄 Paylang．Caya　臉書粉絲專頁：https://www.facebook.com/pg/cayapaylang/posts/?ref=page_internal）","文化傳承．返鄉之路

原鄉傳統祭典對於原住民有深遠意義，不是一年一度的party，而是乘載著文化傳承使命，保留原住民與自然、與人、與土地的特殊互動模式。
要求提供祭儀返鄉交通補助，凡設籍本市，具原住民身分者與其配偶、直系血親（3人為限）因參與歲時祭儀，需返鄉至外縣市者，交通費用可依火車票（以新北市內任一火車站至其故鄉車站來回票為核銷憑據）申請全額補助，每人每年僅能申請1次，於歲時祭儀日起3個月內提出。

（資料來源／蘇錦雄 Paylang．Caya　臉書粉絲專頁：https://www.facebook.com/pg/cayapaylang/posts/?ref=page_internal）","
          增加並公平分配預算

爭對補助各區協進會、教會、同鄉會以及藝術團辦理經活動之經費預算增加及分配，以利推動文化傳承工作

（資料來源／蘇錦雄 Paylang．Caya　臉書粉絲專頁：https://www.facebook.com/pg/cayapaylang/posts/?ref=page_internal）
      ","
          原力培訓．扎根新北.種子計畫

設立「原民射箭競技場」、「拳擊競技培訓場」、「原民培訓．種子計畫」，由原民局編列專用預算，以訓練項目不設限為號召，挹注資源發展潛力，打造原民人才庫，項目可涵蓋藝術、體育、音樂等範疇不設限，以青年個人、社團或協會為申請單位。

（資料來源／蘇錦雄 Paylang．Caya　臉書粉絲專頁：https://www.facebook.com/pg/cayapaylang/posts/?ref=page_internal）
      ","
          租屋補助

要求市政府增加預算，提高租屋租金補助及購屋利息補助，並要求市府增建社會住宅以租代購方式建立家園。

（資料來源／蘇錦雄 Paylang．Caya　臉書粉絲專頁：https://www.facebook.com/pg/cayapaylang/posts/?ref=page_internal）
      ","
          關於教育

要求市政府提高原住民幼兒公托補助。
及要求各學校設置原住民專用多元文化藝術、族語教室，師資人才培育平台，保障族語老師教學環境、薪資及生活津貼。

（資料來源／蘇錦雄 Paylang．Caya　臉書粉絲專頁：https://www.facebook.com/pg/cayapaylang/posts/?ref=page_internal）
      ","
          原產行銷．多元通路

針對原住民生產之農產、藝文與工藝品，以提供多元行銷通路為目標，推動「串聯平台展售」與「原味市集」，以順暢的產銷流通與行銷塑造，提升原住民產品經濟效益。

（資料來源／蘇錦雄 Paylang．Caya　臉書粉絲專頁：https://www.facebook.com/pg/cayapaylang/posts/?ref=page_internal）
      ",,,,,,,,,,,,
蘇澤峰,02 西區,無黨籍,34 歲,男,,,大同高商,雲林縣議會議長秘書，顯煌科技股份有限公司總經理，國薪窯業股份有限公司總經理,,,,,,,,,,,,,,,,,,,,
蘇慶良,02 西區,無黨籍,,男,,,,,,,,,,,,,,,,,,,,,,,,
蘇鈺雯,02 北門區、學甲區、將軍區、七股區、佳里區、西港區,基進黨,,女,,,,,"
          一、落實偏遠地區學校教育發展條例，並發展學校特色
二、提高偏鄉學校補助
三、積極建立資源整合平台(源自/蘇鈺雯候選人臉書)
      ",,,,,,,,,,,,,,,,,,,
蘇義峰,01 屏東市,民主進步黨,61 歲,男,,,"仁愛國小	
大同國中
國立潮州高中
屏東科技大學
東海大學法律實務班
中山大學企業管理班","屏東縣　議員（13.14.15.16.17屆）
台灣勞工大聯盟　理事長
屏東縣總工會 第13屆理事長
屏東縣產職業聯合總工會 第1.2屆理事長
社團法人屏東縣勞工大學教育推廣協會　理事長
社團法人屏東縣公益慈善協會 理事長
曾任屏東縣總工會理事長(10，11屆)
曾任屏東縣全民運動發展協會　理事長
曾任屏東市阿猴城城鄉綜合發展協會　理事長
曾任屏東縣蘭藝協會　理事長
曾任屏東縣文化教育交流協會　理事長",,,,,,,,,,,,,,,,,,,,
蘇陳綉色,01 馬公市,無黨籍,,女,,,馬公國中,"蘇文佐議員助理
澎湖國際蘭馨交流協會第七屆會長
澎湖縣餐飲工會理事
歡喜樓餐廳負責人
真善美聯誼會委員
菊島關懷協會",,,,,,,,,,,,,,,,,,,,
蘇家明,01 桃園區,中國國民黨,64 歲,男,桃園市,1954-12-12,"明新科技大學企管學士
美國州立曼徹普立敦大學管理行政碩士","第六屆桃園市民代表會代表
第七屆桃園市民代表會副主席
第八屆桃園市民代表會主席
第九屆桃園市民代表會主席
第十屆桃園市長
第十一屆桃園市長
第一屆桃園市議員","一、打造虎頭山為國家級休閒公園：擴大虎頭山公園範圍，形成北台灣最大都會公園；並爭取南崁溪邊原804營區，成為虎頭山互聯網創新園區(IOT)。
二、串連南崁溪河濱公園節點：新建南崁溪印象大橋，將仍有斷點的南崁溪自行車道完全貫穿，提升城市美學。
三、新設茄苳溪河岸休閒空間：以南崁溪成功經驗，推動茄苳溪自行車道及河濱親水公園，強化防洪功能。
四、爭取直轄市級圖書總館：為提升大桃園藝文氣息，監督直轄市級圖書館盡速完工。
五、增設親子館及公托中心：減輕青年成家負擔，要求每區設立二至三間的親子館及公共托育中心
六、建構桃園捷運路網：將捷運四線規劃成捷運路網，串聯棕線(通至迴龍，連接大台北捷運)、綠線(航空城捷運)、紅線(桃園-中壢鐵路捷運化)、桃林線(鐵路改輕軌捷運)，讓交通網更便捷。
七、廣設社會住宅：目標四年新增兩萬戶社會住宅，讓年輕人在桃園住得起、生的起、養得起。
八、推動多元社會福利措施：延長育兒津貼到五足歲、全面補助國小學童營養早餐、開辦關懷銀髮族-老花眼鏡免費、強化長期照護服務。",,,,,,,,,,,,,,,,,,,
蘇柏興,13 大里區、霧峰區,中國國民黨,45 歲,男,,,"亞洲大學碩士
國立聯合大學
臺中市光華高工
台中縣立成功國中
大里鄉塗城國民小學","臺中市議會國民黨團副書記長
大里婦女防火宣導隊顧問
霧峰分局仁化警友站副站長
臺中市後備指揮部研究發展委員
大里市民代表會主席
大里國際青商會2006年會長",,,,,,,,,,,,,,,,,,,,
蘇恆,04 中山區、大同區,新黨,33 歲,女,,,"台北大學企管碩士
文化大學政治系畢業","新黨全委會委員
新黨黨代表
楊世光競選總幹事
2016立委選舉新黨不分區參選人","第一點促使市府與大陸一級城市交流，產生多方面合作契機。
第二點台北十大夜市與對岸締結姊妹市，創造陸客來台北指定十大夜市必遊熱點。
第三點簽署陸客台北觀光4天3夜套裝旅程，並導入餐飲、小吃、文創、交通旅遊業，可以藉由觀光行銷創造無限商機
第四點兩岸城市定期互辦產業論壇，促使城市產業彼此交流。

（資料來源／中國時報：https://www.chinatimes.com/realtimenews/20181004002329-260407）",,,,,,,,,,,,,,,,,,,
蘇勇綸,03 仁愛區,無黨籍,,男,,,協和工商,"基隆市後備憲兵荷松協會交通運輸分會副主任
基隆市義警大隊第一中隊副中隊長
基隆市機車商業同業公會執行長
基隆市義消大隊顧問
基隆市南榮國小家長會長
基隆市南榮國中家長會長
基隆市家長聯合總會總會長
基隆市教育審議委員會執行委員
北北基入學委員會 執行委員基隆憲兵隊教育訓練",,,,,,,,,,,,,,,,,,,,
蘇俊豪,05 臺西鄉、麥寮鄉、東勢鄉、四湖鄉,民主進步黨,43 歲,男,,,"銘傳大學公共事務研究所碩士
銘傳大學企業管理系學士
虎尾高中
揚子中學
三崙國小","雲林縣議會副議長
經濟部工業區副主任
台灣雲林農產物流中心總經理
雲林縣議長特別助理
雲林縣義消顧問
雲林縣縣政顧問
雲林縣社會優秀青年
工商建言會27期
凱校國策班18期",,,,,,,,,,,,,,,,,,,,
蘇金勝,04 瑞穗鄉、玉里鎮、富里鄉、卓溪鄉,中國國民黨,,男,,,,富里鄉公所秘書,,,,,,,,,,,,,,,,,,,,
蘇炎城,09 鳳山區,民主進步黨,,男,,,和春技術學院,"高雄市議會第１屆議員
職業總工會理事長
民防大隊大隊長
攤販協進會理事長
家事服務職業工會理事長
第一勞資關係協進會榮譽理事長
高雄縣議會12、13、14、15、16屆議員
鳳山市第5屆市民代表","
          強力監督產業、勞工政策(取自候選人粉絲專頁)
",,,,,,,,,,,,,,,,,,,
蘇泓欽,07 樹林區、鶯歌區、土城區、三峽區,無黨籍,,男,新北市,,澳洲昆士蘭科技大學取得電腦通訊工程碩士,銀行電腦工程師,"泓欽力推智慧城市願景，提升鄉親生活福祉

隨著科技的進步，智慧城市、智慧社區與智慧家庭已是大勢所趨，由於泓欽本身就具有資訊專業背景，所以在競選政見中，就提出未來要結合政府與民間的力量，共同將三鶯土樹這個選區，以「智慧人文」與「智慧樂活」為主軸，將傳統與科技結合。
不論在交通、托老、教育、商圈、旅遊、運動、購物…等，各個方面都能利用最新的AI人工智能技術來服務鄉親、爭取建設。

舉個例子，以後我們鄉親如果要到運動中心運動，只要滑動一下手機，就可以知道各項運動設施使用情形、有沒有停車位、路上交通狀況如何，甚至可以事先預約。

從另一個角度來講，這也是一種創新，好的傳統固然要保留，但如果不能推陳出新，也是會被淘汰，身為一位決心從政的年輕世代，泓欽除了要傳承家父蘇有仁議員的服務精神外，當然也要發揮自己的專業，結合最新的科技，一方面提升為民服務的效率；另方面有效的監督市政。 

（資料來源／蘇有仁官網：http://26795195.com/%E5%95%8F%E6%94%BF%E5%B0%88%E6%AC%84/item/553-%E8%98%87%E6%B3%93%E6%AC%BD%E6%99%BA%E6%85%A7%E5%9F%8E%E5%B8%82）",,,,,,,,,,,,,,,,,,,
蘇明輝,01 竹北市,無黨籍,65 歲,男,,,,,,,,,,,,,,,,,,,,,,,,
蘇忠亮,10 卓溪鄉及玉里鎮、富里鄉之山地原住民,中國國民黨,62 歲,男,花蓮縣,,,花蓮縣議員,,,,,,,,,,,,,,,,,,,,
蘇志強,14 山地原住民,無黨籍,52 歲,男,,,"國立東華大學族群關係與文化研究所碩士
國立台北工專電機科畢業","復興鄉後備軍人輔導中心主任
環球科技大學桃園專班兼任講師
桃園縣政府原住民行政局生活輔導員
台灣首府大學桃園專班兼任講師
復興鄉公所秘書
復興鄉公所代理科員
復興鄉山地後備連輔導長",,,,,,,,,,,,,,,,,,,,
蘇佐揚,14 山地原住民,無黨籍,,男,,,,,,,,,,,,,,,,,,,,,,,,
蘇世岳,03 八德區,無黨籍,,男,,,,,"1.督促八德公托中心、瑞泰公托中心、廣興公托中心，如實如期完工，落實在地公托。
2.增加幼兒園招生名額；爭取補助幼兒園安裝CO2及PM2.5室內空氣監測設備。
3.爭取各國中、國小教室儘速裝設冷氣；建置智慧校園數位學堂；監督八德國小校舍整建及八德國中活動中心改善。
4.爭取在八德擴大計畫區設置八德綜合中學，包括高中部及高職部，便利在地升學。
5.督促中央大學八德校區儘速動工，帶動地方繁榮。
（蘇世岳候選人粉絲專頁貼文）","1.監督鐵路地下化儘速動工，打開八德對外交通瓶頸。
2.督促捷運綠線如期動工，妥善規劃替代疏運路線，避免交通黑暗期。
3.爭取以豐德路延伸增設國道三號八德第二交流道，帶動八德擴大計畫區發展。
4.增設YouBike租賃站；建置智慧型公車系統，提升公車到站準點率。
（蘇世岳候選人粉絲專頁貼文）","1.督促大湳滯洪池、興豐路排水改善工程儘速完成，完善雨水下水道，解決長年積水問題。
2.爭取再增設一所日間照顧中心，減輕家庭照護壓力。
3.督促八德國民運動中心、大湳森林公園、八塊厝故事館、北區青少年活動中心、興豐親子館、兒童玩具圖書館儘速完工；增加天幕籃球場、寵物公園、親子共樂遊憩設施。
4.督促儘速規劃完成公共汙水下水道，提升用戶普及率，同時完成電纜地下化。（蘇世岳候選人粉絲專頁貼文）",,,,,,,,,,,,,,,,,
蘇仁和,07 七堵區,民主進步黨,64 歲,男,基隆市,1954-10-05,親民工專,"民進黨創黨黨員
全國黨代表
歷屆本黨省議員立法委員及總統各項選舉擔任總幹事副總幹事
第 12.13.14.17 屆基隆市議員
基隆市政府建設局長
行政院人事行政局簡任秘書
七堵區正明里 2 屆里長
七堵義消警友站顧問團長","1.	 主張非核家園，堅持核四不運轉。
2.	 推動 65 歲老人免費裝假牙，照顧我們的長輩。
3.	 要求營養午餐補助費用增加，照顧我們的孩子。
4.	 強力監督市區道路要平要整，照顧我們的行人。
5.	 杜絕市府不必要的預算浪費，看緊我們的荷包。
6.	 督促捷運儘速延伸至基隆市，提昇我們的生活。
7.	 青年築巢，托兒育幼社區化。
8.	 便捷交通，建構環狀公車路線。
9.	 夜間女性公車，平安到家。
10.	創造便捷的無線網路城市。",,,,,,,,,,,,,,,,,,,
蘇于珊,01 斗六市、莿桐鄉、林內鄉,中國國民黨,,女,,,,林內鄉民眾服務社理事長,,,,,,,,,,,,,,,,,,,,
